Exporter,Importer,Year,Value
Algeria,Viet Nam,2020,2631.994
Algeria,Slovenia,2020,486.88700000000006
Algeria,South Africa,2020,9213.36
Algeria,Zimbabwe,2020,4.917000000000001
Algeria,Spain,2020,2601621.1750000003
Algeria,Suriname,2020,67.941
Algeria,Eswatini,2020,0.119
Algeria,Sweden,2020,6746.829
Algeria,Switzerland,2020,72269.091
Algeria,Tajikistan,2020,25.256
Algeria,Thailand,2020,135770.527
Algeria,Togo,2020,30.017
Algeria,Trinidad and Tobago,2020,15.288
Algeria,United Arab Emirates,2020,99562.429
Algeria,Tunisia,2020,896984.758
Algeria,Türkiye,2020,516305.23
Algeria,Uganda,2020,0.694
Algeria,Ukraine,2020,5782.432000000001
Algeria,North Macedonia,2020,14704.571
Algeria,Egypt,2020,155703.453
Algeria,United Kingdom,2020,543743.2220000001
Algeria,United Rep. of Tanzania,2020,9.015
Algeria,USA,2020,494313.047
Algeria,Burkina Faso,2020,10458.661
Algeria,Uruguay,2020,40989.188
Algeria,Uzbekistan,2020,24.328
American Samoa,Angola,2020,0.5660000000000001
American Samoa,Azerbaijan,2020,0.353
American Samoa,Australia,2020,7416.351
American Samoa,Austria,2020,3.474
American Samoa,Bahrain,2020,41.682
American Samoa,Armenia,2020,0.352
American Samoa,Belgium,2020,5.226
American Samoa,Bolivia (Plurinational State of),2020,0.005
American Samoa,Bosnia Herzegovina,2020,0.159
American Samoa,Brazil,2020,71.863
American Samoa,Brunei Darussalam,2020,65.707
American Samoa,Myanmar,2020,118.796
American Samoa,Burundi,2020,0.045
American Samoa,Belarus,2020,0.594
American Samoa,Canada,2020,510.56
American Samoa,Central African Rep.,2020,101.999
American Samoa,Sri Lanka,2020,22.223000000000003
American Samoa,Colombia,2020,4.259
American Samoa,Congo,2020,0.426
American Samoa,Dem. Rep. of the Congo,2020,64.198
American Samoa,Costa Rica,2020,26.769
American Samoa,Czechia,2020,27.988
American Samoa,Benin,2020,0.457
American Samoa,Denmark,2020,5.879
American Samoa,Dominican Rep.,2020,0.174
American Samoa,Ecuador,2020,865.848
American Samoa,El Salvador,2020,8.21
American Samoa,Ethiopia,2020,59.054
American Samoa,Fiji,2020,1127.047
American Samoa,Finland,2020,318.729
American Samoa,France,2020,61.857
American Samoa,French Polynesia,2020,0.145
American Samoa,Gabon,2020,0.284
American Samoa,Gambia,2020,1.0510000000000002
American Samoa,Germany,2020,114.034
American Samoa,"China, Hong Kong SAR",2020,147.783
American Samoa,Indonesia,2020,561.975
American Samoa,Ireland,2020,8.068
American Samoa,Israel,2020,7.801
American Samoa,Italy,2020,4.624
American Samoa,Côte d'Ivoire,2020,18.281
American Samoa,Japan,2020,25.515
American Samoa,Kenya,2020,88.349
American Samoa,Rep. of Korea,2020,991.799
American Samoa,Lao People's Dem. Rep.,2020,2.55
American Samoa,Latvia,2020,12.28
American Samoa,Luxembourg,2020,5.173
American Samoa,Madagascar,2020,18.183
American Samoa,Malaysia,2020,3.96
American Samoa,"Other Asia, nes",2020,2246.313
American Samoa,Rep. of Moldova,2020,7.192
American Samoa,Morocco,2020,2.027
American Samoa,Mozambique,2020,43.543
American Samoa,Nepal,2020,5.042
American Samoa,New Zealand,2020,209.65
American Samoa,Niger,2020,7.161
American Samoa,Nigeria,2020,264.714
American Samoa,Norway,2020,9.768
American Samoa,Pakistan,2020,171.978
American Samoa,Papua New Guinea,2020,208.9
American Samoa,Peru,2020,118.707
American Samoa,Philippines,2020,123.56
American Samoa,Poland,2020,317.62300000000005
American Samoa,Portugal,2020,0.278
American Samoa,Russian Federation,2020,2.367
